tag,date
Tether: USDT Stablecoin,NA
Centre: USD Coin,NA
OMG Network: OMG Token,Not listed
Maker: Dai Stablecoin,NA
Uniswap Protocol: UNI token,17-Sep-20
Chainlink: LINK Token,16-Jan-19
Polygon (Matic): Matic Token,26-Apr-19
Compound: COMP Token,25-Jun-19
Basic Attention: BAT Token,4-Mar-19
SushiSwap: SUSHI Token,1-Sep-20
Aave: AAVE Token,15-Oct-20
Wrapped BTC: WBTC Token,24-Jun-22
Curve.fi: CRV Token,15-Aug-20
Maker Token,NA
Uniswap V2: Router 2,NA
Ygov.finance: YFI Token,10-Aug-20
Decentraland: MANA Token,6-Aug-20
Synthetix: Proxy SNX Token,9-Jul-20
1inch Network: 1INCH Token,25-Dec-20
TrueUSD: TUSD Token,Not listed
Wrapped Ether,NA
0x: ZRX Token,28-Feb-19
Enjin Coin,18-Apr-19
Fantom: FTM Token,11-Jun-19
The Sandbox: SAND Token,14-Aug-20
Bancor: BNT Token,6-Feb-20
Shiba Inu: SHIB Token,10-May-21
Maker: Proxy Registry,NA
Binance USD,NA
Axie Infinity: AXS Token,4-Nov-20
Ren: REN Token,25-Sep-19
The Graph: GRT Token,17-Dec-20
Livepeer: LPT Token,28-May-21
Chiliz: CHZ Token,6-Sep-19
Loopring: LRC Token,12-Jun-20
1inch v4: Router,NA
Golem Token,Not listed
NuCypher: NU Token,Not listed
Balancer: BAL Token,11-Aug-20
FTX: FTT Token,20-Dec-19
UMA: UMA Token,9-Sep-20
Apecoin: APE Token,17-Mar-22
Uniswap V3: Router,NA
Compound: Comptroller,25-Jun-20
Paxos: USDP Token,NA
GALA: GALA Token,13-Sep-21
ENS: ENS Token,10-Nov-21
Augur: REP Token,12-Jun-20
Vote,NA
Kyber Network: KNC Token,12-Jun-20
SushiSwap: Router,NA
Serum: SRM Token,11-Aug-20
1inch V3,NA
dYdX: DYDX Token,10-Sep-21
Storj Token,30-Jul-20
Compound: cETH Token,Not listed
Ankr Network: ANKR Token,23-Jul-19
Compound: cDAI Token,Not listed
Abracadabra.money: SPELL Token,24-Dec-21
Uniswap: Token Distributor,NA
Address 0x267f70f9b856de226fea5fc1b0a8e319c72c…,NA
Frax Finance: FXS Token,10-Dec-21
Curve.fi: sUSD v2 Swap,NA
Sai Stablecoin,Not listed
RLC Token,14-Nov-19
Kyber: Old KNC Token,NA
1inch.exchange: Airdrop,NA
1inch.exchange,NA
1inch Network v2,NA
Skale Network: SKL Token,1-Dec-20
Harvest.Finance: FARM Token,11-Aug-21
Uniswap V3: Router 2,NA
Augur: REPv2 Token,NA
Convex Finance: CVX Token,23-Dec-21
HEX.com: HEX Token,Not listed
Keep: KEEP Token,Not listed
BarnBridge: BOND Token,5-Jul-21
Terra: USTC Token,NA
Amp: AMP Token,23-Nov-21
Compound: cUSDT Token,Not listed
Fei Protocol: Tribe,Not listed
Curve.fi: DAI/USDC/USDT Pool,NA
Edgeware: Lockdrop,NA
Address 0xc333e80ef2dec2805f239e3f1e810612d294...,NA
Tornado.Cash: 100 ETH,NA
Origin: OGN Token,9-Jan-20
Cronos Coin: CRO Token,Not listed
Aave: Staked Aave,NA
Address 0x435891f5515ba3a5fe0e3f048f769ab7a0d3...,NA
Streamr: Old DATA Token,7-Apr-20
Alpha Finance Lab: ALPHA Token,10-Oct-20
Curve.fi: yCrv Token,NA
Curve.fi: Token Minter,NA
SushiSwap: MasterChef LP Staking Pool,NA
Golem: GLM Token,11-Jan-22
Curve.fi: y Deposit,NA
Mirror Protocol: MIR Token,19-Apr-19
Aave: Lending Pool V2,NA
Synthetix: Proxy sUSD Token,NA
